subject;palette;user_answer;time;ref;left;right;true_answer;correct;incorrect;baseline;luminance_left;luminance_right;luminance_total;luminance_diff;lab_left;lab_right;lab_total;lab_diff;ucs_left;ucs_right;ucs_total;ucs_diff;name_left;name_right;name_total;name_diff;sal_left;sal_right;sal_ref;create_time
59ab5b0b6592220933cba933;viridis;a;671;0.2;0.15;0.3;a;true;0;0.05;4.205;7.527;11.732;3.322;10.533;21.333;31.763;10.800;6.432;11.936;18.224;5.504;0.475;0.071;0.747;-0.404;0.339;0.365;0.318;Sat Sep 02 2017 18:31:44 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1819;0.8;0.7;1;a;true;0;0.10;10.715;23.742;34.458;13.027;22.893;48.212;69.708;25.319;14.102;28.782;42.509;14.680;0.314;0.855;0.969;0.541;0.316;0.232;0.404;Sat Sep 02 2017 18:31:48 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;742;0.3;0.1;0.4;b;false;1;0.10;20.169;8.739;28.908;11.430;41.125;16.670;45.871;24.455;25.832;14.122;37.677;11.710;0.870;0.005;0.884;0.865;0.353;0.565;0.609;Sat Sep 02 2017 18:31:49 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1005;0.45;0.25;0.85;a;true;0;0.20;17.480;39.954;57.434;22.474;33.337;78.424;106.296;45.087;27.957;49.949;71.042;21.992;0.075;0.991;1.000;0.916;0.413;0.352;0.356;Sat Sep 02 2017 18:31:50 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;778;0.7;0.65;0.8;a;true;0;0.05;5.281;10.715;15.997;5.434;12.164;22.893;33.541;10.729;7.250;14.102;21.020;6.852;0.090;0.314;0.554;0.224;0.321;0.404;0.316;Sat Sep 02 2017 18:31:50 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;1411;0.2;0;0.3;b;true;0;0.10;17.571;9.104;26.675;8.467;63.007;12.419;67.556;50.588;28.089;13.909;37.915;14.180;0.998;0.051;1.000;0.947;0.844;0.609;0.326;Sat Sep 02 2017 18:31:52 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;810;0.3;0.2;0.35;b;true;0;0.05;9.104;4.413;13.517;4.691;12.419;8.116;19.657;4.303;13.909;7.186;20.900;6.723;0.051;0.001;0.059;0.050;0.326;0.621;0.609;Sat Sep 02 2017 18:31:53 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1307;0.6;0.4;1;a;true;0;0.20;17.781;44.642;62.423;26.861;47.467;84.027;104.883;36.560;28.493;54.190;71.549;25.697;0.969;0.998;1.000;0.029;0.565;0.232;0.381;Sat Sep 02 2017 18:31:54 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;886;0.55;0.35;0.95;a;true;0;0.20;17.369;43.551;60.920;26.182;42.028;80.458;104.432;38.430;28.121;52.655;70.825;24.534;0.870;0.972;1.000;0.102;0.621;0.247;0.335;Sat Sep 02 2017 18:31:55 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;851;0.5;0.4;0.7;a;true;0;0.10;9.000;18.965;27.966;9.965;22.009;49.085;70.053;27.076;14.763;27.247;40.809;12.484;0.288;0.804;0.996;0.516;0.565;0.316;0.254;Sat Sep 02 2017 18:31:56 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;800;0.1;0.05;0.2;a;true;0;0.05;4.582;11.065;15.647;6.483;19.035;34.655;53.494;15.620;7.195;14.222;21.074;7.027;0.511;0.657;0.917;0.146;0.612;0.326;0.353;Sat Sep 02 2017 18:31:57 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;817;0.4;0.3;0.6;a;true;0;0.10;8.739;17.781;26.520;9.042;16.670;47.467;63.934;30.797;14.122;28.493;42.141;14.371;0.005;0.969;0.985;0.964;0.609;0.381;0.565;Sat Sep 02 2017 18:31:57 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;3411;0.6;0.4;0.7;b;true;0;0.10;17.781;10.184;27.966;7.597;47.467;25.173;70.053;22.294;28.493;14.282;40.809;14.211;0.969;0.487;0.996;0.482;0.565;0.316;0.381;Sat Sep 02 2017 18:32:01 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;b;1452;0.7;0.6;0.75;b;true;0;0.05;10.184;5.621;15.805;4.563;25.173;12.332;35.702;12.841;14.282;7.606;21.415;6.676;0.487;0.128;0.750;0.359;0.381;0.332;0.316;Sat Sep 02 2017 18:32:02 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1454;0.9;0.85;1;a;true;0;0.05;6.026;12.023;18.048;5.997;12.446;23.294;35.692;10.848;7.347;14.129;21.466;6.782;0.077;0.557;0.740;0.480;0.352;0.232;0.288;Sat Sep 02 2017 18:32:04 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1042;0.2;0.1;0.4;a;true;0;0.10;11.065;17.843;28.908;6.778;34.655;27.857;45.871;-6.798;14.222;27.658;37.677;13.436;0.657;0.067;0.884;-0.590;0.353;0.565;0.326;Sat Sep 02 2017 18:32:05 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;1164;0.5;0.1;0.7;b;false;1;0.20;37.908;18.965;56.873;18.943;58.012;49.085;90.390;8.927;50.300;27.247;71.018;23.053;0.924;0.804;1.000;0.120;0.353;0.316;0.254;Sat Sep 02 2017 18:32:06 GMT-0700 (PDT)
59ab5b0b6592220933cba933;magma;a;992;0.7;0.6;0.9;a;true;0;0.10;10.184;22.435;32.619;12.251;25.173;47.176;64.143;22.003;14.282;28.582;40.920;14.300;0.487;0.684;0.909;0.197;0.381;0.288;0.316;Sat Sep 02 2017 18:32:07 GMT-0700 (PDT)
